"word1","word2","meanSim","sd","count"
"horse","pony",90.6842105263158,9.40480156078058,19
"hotdog","bacon",61.5,23.5391356912464,12
"jacket","blazer",91.3571428571429,8.08233727483429,14
"jersey","shirt",80.2666666666667,18.7862665137012,15
"juice","soda",86,11.2960169971544,16
"kayak","block",11.6153846153846,12.1143060162937,13
"kilt","tiara",33.2,23.8872350848733,15
"kitten","beetle",46.8,25.7112167480784,10
"kiwi","apple",82,26.1321428300262,10
"knee","wrist",73.9375,22.1794762487004,16
"knife","sheath",70.7058823529412,28.0039387985921,17
"knob","button",75.0555555555556,21.8537174714112,18
"leash","drink",9.63157894736842,9.34648196629078,19
"leech","worm",68.9047619047619,27.9121922498122,21
"leek","roll",32,28.9010852265573,12
"lion","fossil",17.6363636363636,15.4751581407273,22
"locket","kimono",16,21.433415601528,24
"makeup","paint",72.7142857142857,14.6018589814546,21
"mast","frame",52.35,27.5246779224906,20
"medal","torso",14.3571428571429,12.3513134951286,14
"money","wand",17.2105263157895,13.4353552960026,19
"moss","boot",17.4,14.3218115374517,15
"mouth","nose",79.8461538461538,12.8117534178982,13
"muffin","crumb",59,24.305744810008,14
"napkin","tinsel",20.8,20.7405019479431,20
"orange","amber",81.25,18.1510475266798,20
"otter","iguana",56.75,20.2797107145705,16
"parrot","turtle",57.4444444444444,20.3071190710874,18
"pasta","quiche",53.75,20.4042479237372,16
"pipe","paper",23.2666666666667,25.4290797166963,15
"poppy","crayon",14.0588235294118,17.4121745778467,17
"powder","floss",26.3333333333333,15.910735845696,12
"prism","ring",25,18.9707377001763,19
"prune","thorn",41.8571428571429,28.971755855706,14
"puddle","sand",46,27.657428176411,16
"racket","hinge",21.1578947368421,21.5000339997011,19
"radio","dress",9.07142857142857,5.22515050521971,14
"radish","melon",60.25,23.6684889340459,20
"raft","shorts",29.8333333333333,23.9955804011464,12
"ramp","noose",18.05,17.9662695656406,20
"record","kite",14.8823529411765,9.91137195940335,17
"root","squash",48.4210526315789,31.688265948619,19
"rope","skunk",11.8571428571429,11.3466846588443,14
"rosary","altar",63.2777777777778,30.8846155411425,18
"ruby","jewel",84.1,15.7877367465684,20
"sandal","insole",64.8125,24.8467804755465,16
"sauce","fondue",60.4736842105263,24.9607879617715,19
"seed","leaf",70.9375,19.587304561884,16
"shelf","gauze",12.4210526315789,14.4887534525296,19
"shovel","bucket",68.7368421052632,28.0294331517249,19
"slicer","hummus",19.125,20.0095810384259,16
"slime","possum",10.3571428571429,9.00091570433162,14
"snake","koala",49.6875,23.1537433978468,16
"sponge","watch",8.05555555555556,8.34176044490978,18
"spoon","saucer",65.2307692307692,20.4660444238493,13
"squid","fish",86.4285714285714,12.0107095068169,21
"stem","stump",47.7142857142857,21.9139175005242,14
"stove","teepee",23.7142857142857,21.2041101137088,21
"suit","sheet",33.5833333333333,24.9598161900769,12
"sundae","sushi",46.8421052631579,26.5482017760876,19
"tank","bumper",29.6666666666667,26.1196342646226,18
"tape","wire",60.375,24.5108819370771,16
"target","clasp",13.75,11.0785077214097,16
"teabag","coffee",83.4,19.0405582151064,15
"throne","donkey",18.4666666666667,21.0945716330281,15
"tiger","panda",63.2857142857143,23.9398054652557,21
"tomato","dough",45.85,27.6029651343932,20
"tongs","skewer",65.1428571428571,22.7557503902679,14
"vial","goblet",67,21.7580275922677,18
"walrus","arrow",8.58823529411765,9.5003869890219,17
"yacht","ship",90,10.9468412491153,13
"yarn","alpaca",46.875,27.5,16
