words,category,average_similarity,simWordCategory,FrequencyPosition
shelf,furniture,0.31979765183346626,0.4521167228217434,6520
desk,furniture,0.3430656738955905,0.3631458810432771,1714
drawer,furniture,0.3624481311325744,0.4261003292102268,4495
sofa,furniture,0.41254620381140644,0.5040868498399819,6146
mirror,furniture,0.2970535772049975,0.33142822769448693,2207
chest,furniture,0.256254377160477,0.18385048871065252,1828
stand,furniture,0.2310944723246849,0.2602260825307522,460
ottoman,furniture,0.11232771309391501,0.17256911831616656,17950
cabinet,furniture,0.271904992554758,0.4472176608703814,4779
dresser,furniture,0.2280983577971027,0.3290588066184146,11251
chaise,furniture,0.36458018219678656,0.5906712519982268,39023
futon,furniture,0.41254620381140644,0.5040868498399819,26489
buffet,furniture,0.204946092645512,0.28937467769146047,9590
armoire,furniture,0.18485213529492325,0.2795534630446935,40396
loveseat,furniture,0.07981965348953882,0.13688509317551717,None
rocker,furniture,0.12979562401922398,0.21594280317445297,14421
bunkbed,furniture,0.0,0.0,None
lamp,furniture,0.2959910862413597,0.40633816065394374,4644
armchair,furniture,0.41254620381140644,0.5040868498399819,21051
recliner,furniture,0.41254620381140644,0.5040868498399819,None
bookcase,furniture,0.39101734730476956,0.5418457735024461,27930
settee,furniture,0.41254620381140644,0.5040868498399819,45288
vanity,furniture,0.2734864372600452,0.4628581223132184,9096
pouffe,furniture,-0.00039125254581020685,0.07594114045422445,None
hutch,furniture,0.21032656198874985,0.3524753055590111,13491
trolley,furniture,0.0871978833378305,0.10549477172232528,14889
divan,furniture,0.41254620381140644,0.5040868498399819,None
armrest,furniture,0.3538684173332657,0.5007447820401636,None
curtain,furniture,0.31605209410545637,0.44049531461532804,5293
bench,furniture,0.28367707408013854,0.2885201004986981,4761
stool,furniture,0.36662792232434027,0.4210181059833925,9375
screen,furniture,0.2623536777729939,0.3128344466353047,2532
credenza,furniture,0.09515783002736082,0.2734825852858996,None
cart,furniture,0.2174277716720562,0.3065152148939,4503
crate,furniture,0.21334092433822413,0.4447693079694815,9506
hanger,furniture,0.27012436098884185,0.4185885511514319,20019
baker,job,0.13439518844626533,0.1838858407874616,4054
chef,job,0.17838258984179284,0.16716201311299783,1825
clerk,job,0.20677398461413546,0.22593756590110237,5091
coach,job,0.15277441131851588,0.19997859410168153,1524
coder,job,0.07027449366558565,0.1037209115665942,None
diver,job,0.14830191062053744,0.15343394080714276,12265
editor,job,0.1887698613154013,0.13661341475986255,4221
guard,job,0.15125005598731306,0.18266720632391925,1191
guide,job,0.1294375037859297,0.21727937964918712,2813
judge,job,0.17300321211601058,0.1718589181884525,980
lawyer,job,0.26174337539368087,0.30925152353354335,1036
miner,job,0.15734348885139313,0.1508197232137134,14075
model,job,0.15658644709692326,0.1076143239323905,1760
nurse,job,0.2061789197503566,0.3117559714339636,1563
pilot,job,0.18604258246188238,0.17899760240728535,2414
plumber,job,0.21973846293880597,0.322421683827296,8484
poet,job,0.15664194187491345,-0.017669744505849707,4655
porter,job,0.14231379743846254,0.10584796579470834,5237
rabbi,job,0.1035982264717857,-0.051030989911002154,7599
ranger,job,0.08130308320622982,0.06322409081417647,5221
scout,job,0.1544507201019015,0.15027750616575725,4765
smith,job,0.21750677765703347,0.16411554788165778,1951
priest,job,0.20156650248468042,0.0949598356945485,1975
tailor,job,0.15947614811123667,0.22337245085151464,9118
teller,job,0.12618032957584496,0.2410573675387376,9338
tutor,job,0.20473074165484695,0.2970270149307029,8244
usher,job,0.06219605876879749,0.06964209620555557,11625
valet,job,0.19278120481367078,0.2158795194089941,10577
mayor,job,0.1461084088949465,0.10578308177559205,1731
welder,job,0.1431459089582602,0.23717993435081083,30539
writer,job,0.2305293986924125,0.1583331874822001,2548
actor,job,0.20631116366825258,0.11684661302831559,2498
agent,job,0.23298025641448025,0.3032113129718272,937
artist,job,0.21713900521340798,0.10338561551843638,1867
barber,job,0.21750677765703347,0.16411554788165778,7586
buyer,job,0.13942439925969408,0.2849686894732652,6859
clerk,job,0.20677398461413546,0.22593756590110237,5091
dancer,job,0.171909745933765,0.11876222868368445,3700
driver,job,0.2082501030533878,0.23727944867174172,1355
envoy,job,0.18540641364913826,0.0734984943937503,16976
farmer,job,0.2185867220741823,0.21049422846489416,4092
guard,job,0.15125005598731306,0.18266720632391925,1191
janitor,job,0.2716964089487123,0.37303440094803614,7810
jester,job,0.19191574271020964,0.07733530280509461,21687
medic,job,0.13911114467088853,0.15739476412217415,8347
monk,job,0.13393766888944564,-0.01504908703835199,3395
nurse,job,0.2061789197503566,0.3117559714339636,1563
owner,job,0.21840114174971553,0.19467059772139644,1889
sailor,job,0.19647016838999568,0.13045296971754206,5076
singer,job,0.15969202148602935,-0.010147588923557343,2939
rugby,sport,0.2825145542135418,0.4471303500752407,12529
soccer,sport,0.41748662245335566,0.5903273176852211,4420
tennis,sport,0.4277161346732832,0.5380700277291075,4271
golf,sport,0.3597329660046993,0.4581551167096795,3010
boxing,sport,0.3497747446159525,0.5297526037080501,5257
skiing,sport,0.3397316187656569,0.46683087370815346,9423
cycling,sport,0.45341717006186655,0.6512755765708748,16514
diving,sport,0.4022471438725057,0.5039438505871888,6999
hockey,sport,0.35526891257413595,0.4881700313157022,5287
rowing,sport,0.47780028150311504,0.6010754300009272,15039
sailing,sport,0.3701412730700555,0.4359148153346071,5861
skating,sport,0.436343655776558,0.5541976945362836,9396
sprint,sport,0.309309677888543,0.3997642338784445,17078
surfing,sport,0.3513178810747951,0.464048667610179,9069
swimming,sport,0.4865923234735688,0.5539584522915019,2804
racing,sport,0.39354498352671385,0.6587366166961806,4015
bowling,sport,0.4077296088854583,0.4340232895219783,5499
cricket,sport,0.36152177812546804,0.5120074554415496,6038
karate,sport,0.42082088266987233,0.6138645473982224,7575
judo,sport,0.34977474461595254,0.5297526037080501,16637
biking,sport,0.43308324879000776,0.5657115520131644,29226
archery,sport,0.42082088266987233,0.6138645473982224,21260
bocce,sport,0.4277161346732832,0.5380700277291075,None
canoe,sport,0.19006988110790365,0.2237887707981812,12811
curling,sport,0.35361758266272947,0.3638432159316393,21418
fencing,sport,0.3763817005865133,0.41646430390381234,14909
fishing,sport,0.3643525425574362,0.4723200811337568,2527
kayaking,sport,0.3874531264232436,0.5256319002790933,44565
squash,sport,0.28789572068754504,0.37344237435012667,9944
running,sport,0.35576186613475913,0.3957604793842826,564
walking,sport,0.34251105678022736,0.3305542016179892,997
jogging,sport,0.43308324879000776,0.5657115520131644,12110
track,sport,0.23519597994403796,0.3110069750863393,1267
chess,sport,0.2659710216277183,0.3605107684443588,4848
lifting,sport,0.3222059834656734,0.40032148151568014,8299
darts,sport,0.24178499394871175,0.17925764914713807,11952
snooker,sport,0.4277161346732832,0.5380700277291075,23985
pool,sport,0.3027906258456442,0.32181268198207197,1715
football,sport,0.3948011478455919,0.6096341256048305,1843
baseball,sport,0.3820794574557873,0.5189610348615106,2883
softball,sport,0.4511321257398713,0.5786390608735059,15043
handball,sport,0.4397239549409907,0.5899140120514766,30742
lacrosse,sport,0.4511321257398713,0.5786390608735059,18788
polo,sport,0.30255695816488454,0.4182047407609979,9296
arugula,vegetable,0.6475435577588828,0.6095167652110595,42005
bamboo,vegetable,0.36050356340130496,0.46856623995762486,9860
beet,vegetable,0.6764398311195633,0.5526482687374065,23614
carrot,vegetable,0.575972699421131,0.5928896825235767,8556
chard,vegetable,-0.08733060659074719,-0.13269290968256972,38037
celery,vegetable,0.6226647888117622,0.6348187796738405,16224
chives,vegetable,0.559729135889236,0.6745967999283122,42143
collard,vegetable,0.17936270630759757,0.2776790167156194,35177
garlic,vegetable,0.6097408836069803,0.5839059001709609,7205
ginger,vegetable,0.4987493855525413,0.5243066405701212,4904
kale,vegetable,0.645511003563595,0.5893629131827164,15097
kohlrabi,vegetable,0.6764398311195633,0.5526482687374065,None
leek,vegetable,0.6694059139061266,0.5526482687374065,32857
lettuce,vegetable,0.592603229510275,0.48357806687089844,11028
okra,vegetable,0.6764398311195633,0.5526482687374065,33809
onion,vegetable,0.6157084796798514,0.5433147482840988,7742
parsnip,vegetable,0.6764398311195633,0.5526482687374065,47509
chili,vegetable,0.5398183315903691,0.5290405713163926,6993
pepper,vegetable,0.5117167491995214,0.4774298855661509,4796
radish,vegetable,0.6764398311195633,0.5526482687374065,21994
eggplant,vegetable,0.6183809379342117,0.6603819982456389,18887
shallot,vegetable,0.21507721327830578,0.4664157543081593,None
spinach,vegetable,0.6475435577588828,0.6095167652110595,13426
squash,vegetable,0.4881993772314609,0.43914934813881445,9944
tomato,vegetable,0.6183809379342117,0.6603819982456389,6651
turnip,vegetable,0.14269991198420146,0.2526919764689628,22605
wasabi,vegetable,0.4864901775099846,0.43296549365568354,29228
zucchini,vegetable,0.6530533228462229,0.5893629131827164,22793
broccoli,vegetable,0.6530533228462229,0.5893629131827164,13849
endive,vegetable,0.5693130277747098,0.520709409942578,None
chicory,vegetable,0.6764398311195633,0.5526482687374065,41523
fennel,vegetable,0.6180442694010202,0.5839059001709609,23549
celeriac,vegetable,0.6475435577588828,0.6095167652110595,None
lettuce,vegetable,0.592603229510275,0.48357806687089844,11028
chayote,vegetable,0.6764398311195633,0.5526482687374065,None
basil,vegetable,0.6180442694010202,0.5839059001709609,9585
potato,vegetable,0.5875589595747546,0.5969291363961836,4373
lentil,vegetable,0.5376239131331999,0.5123103572967875,37880
jicama,vegetable,0.5822620803832996,0.5613698113371134,None
daikon,vegetable,0.6530533228462229,0.5893629131827164,None
oregano,vegetable,0.6180442694010202,0.5839059001709609,31140
ramp,vegetable,0.01499245185835818,0.054835659155662894,10461
leek,vegetable,0.6694059139061266,0.5526482687374065,32857
garlic,vegetable,0.6097408836069803,0.5839059001709609,7205
taro,vegetable,0.4854596370459423,0.5223423334568723,14562
bean,vegetable,0.5098886722207333,0.5119610649029137,5797
kale,vegetable,0.645511003563595,0.5893629131827164,15097
lotus,vegetable,0.36158451645842943,0.5760892969256523,9381
